model,term,coefficient_standardized,standard_error_standardized,z,p_value,coefficient_original_scale,is_learning_mechanism,n,events,log_likelihood,converged
complete,intercept,-2.199276183394947,0.23659172994196775,-9.295659590191065,1.4629627070043024e-20,3.4356099304460623,False,245,32,-82.72407477763724,True
complete,municipal_population,0.04089438100286978,0.23865254286376872,0.17135531225499548,0.8639443906576592,2.830229560901431e-06,False,245,32,-82.72407477763724,True
complete,percent_25_plus_high_school_or_higher,0.3373352040539028,0.34663838389708657,0.9731617146993572,0.33047293546096795,0.03952528610920113,False,245,32,-82.72407477763724,True
complete,non_hispanic_white_share,-0.2414870318164466,0.22562352044267858,-1.070309652746502,0.2844799509477985,-0.031021486465702255,False,245,32,-82.72407477763724,True
complete,per_capita_income,-0.04247432118876598,0.3353733189444219,-0.1266478839832957,0.8992190961155202,-7.4866053099922145e-06,False,245,32,-82.72407477763724,True
complete,per_capita_spending,0.061807421029455564,0.19173848735843008,0.3223527100947378,0.7471855055076992,2.703273970151392e-05,False,245,32,-82.72407477763724,True
complete,kentucky_smoker_percentage,-0.5983548703132473,0.27533980487533827,-2.173150629579897,0.0297689821836628,-0.2924910209607287,False,245,32,-82.72407477763724,True
complete,proportion_state_population_local_restriction,0.3137663513430817,0.2562801048682343,1.2243102191034443,0.22083522335623162,11.013478553070605,True,245,32,-82.72407477763724,True


primary,intercept,-1.3584789804153377,0.34479321129125856,-3.9399818091771657,8.148778787330387e-05,-0.8219055610168904,False,69,17,-30.757267563336583,True
primary,municipal_population,0.23925000388318693,0.40774645225278827,0.5867617058623982,0.557363758891489,1.7062150288285296e-05,False,69,17,-30.757267563336583,True
primary,percent_25_plus_high_school_or_higher,0.6845725781649911,0.5949330448916211,1.1506716327880215,0.24986735099725904,0.08047101468394739,False,69,17,-30.757267563336583,True
primary,non_hispanic_white_share,0.10748813960797032,0.4035946308596164,0.2663269810577789,0.7899873953591634,0.016743894329905994,False,69,17,-30.757267563336583,True
primary,per_capita_income,-0.2799300741410794,0.7047515326956464,-0.39720392387137926,0.6912170888800315,-4.262246271147148e-05,False,69,17,-30.757267563336583,True
primary,per_capita_spending,0.129239561740431,0.3804231998613705,0.33972576274929345,0.7340630585858336,5.473068236448016e-05,False,69,17,-30.757267563336583,True
primary,kentucky_smoker_percentage,-0.942040480436866,0.5328746265060603,-1.7678463818283385,0.07708658854134379,-0.5826305992319587,False,69,17,-30.757267563336583,True
primary,tobacco_lobbyist_ratio,0.3268018155295349,0.319625242533028,1.022453085806467,0.30656650615717224,69.97341147583147,False,69,17,-30.757267563336583,True
primary,proportion_state_population_local_restriction,0.3285730652362508,0.4811904382701171,0.68283373713217,0.4947119087766071,19.51001638180282,True,69,17,-30.757267563336583,True


sensitivity,intercept,-2.319186545753913,0.2571587453003474,-9.018501560369762,1.9067948784803513e-19,9.505137359729847,False,245,32,-77.58124208267563,True
sensitivity,municipal_population,0.05737401322769489,0.2458057104619,0.23341204368231264,0.8154414619267509,3.970756477599615e-06,False,245,32,-77.58124208267563,True
sensitivity,percent_25_plus_high_school_or_higher,0.24304041338174584,0.3506866929386104,0.6930414477525995,0.4882835409241631,0.02847684368417426,False,245,32,-77.58124208267563,True
sensitivity,non_hispanic_white_share,-0.3474957683288536,0.2329708547494585,-1.4915847250616712,0.13580804503322297,-0.044639396132443464,False,245,32,-77.58124208267563,True
sensitivity,per_capita_income,-0.030085115517951965,0.3411145017137373,-0.08819653039318552,0.9297204749177047,-5.302860158433816e-06,False,245,32,-77.58124208267563,True
sensitivity,per_capita_spending,0.06204428728455172,0.20323047739869954,0.30529026983897023,0.7601450859797624,2.713633800267965e-05,False,245,32,-77.58124208267563,True
sensitivity,kentucky_smoker_percentage,-0.7512785165559024,0.31080680526512977,-2.4171881175994003,0.015640931368128844,-0.3672439738282057,False,245,32,-77.58124208267563,True
sensitivity,nominate_state_government_ideology,-0.4295457816400714,0.41465552132261985,-1.0359099530857718,0.30024415379406505,-0.040457462994056684,False,245,32,-77.58124208267563,True
sensitivity,tobacco_lobbyist_ratio,-0.18283570850764455,0.200338165689305,-0.9126354325874972,0.3614343125562284,-72.24975068617466,False,245,32,-77.58124208267563,True
sensitivity,tobacco_lobbyist_ratio_missing,0.9073755867452022,0.32541659640778176,2.7883506765222377,0.005297716372924423,2.363898405205508,False,245,32,-77.58124208267563,True
sensitivity,proportion_state_population_local_restriction,0.34940181232103473,0.3385813814804872,1.0319581389656864,0.3020917281704593,12.26431499085144,True,245,32,-77.58124208267563,True
