Municipality,County,Year,Adoption Year,adopted_this_year,ordinance_profile_population,municipal_population,percent_25_plus_high_school_or_higher,non_hispanic_white_share,per_capita_income,per_capita_spending,texas_smoker_percentage,proportion_state_population_local_restriction
Abilene,"Taylor, Jones",2009,2014,0,125182,116168,81.55,64.9,20206,1959.48,17.9,0.181996
Abilene,"Taylor, Jones",2010,2014,0,125182,116637,81.38,62.89,20826,1959.48,15.8,0.175965
Abilene,"Taylor, Jones",2011,2014,0,125182,117566,82.17,62.5,20825,1959.48,19.2,0.185339
Abilene,"Taylor, Jones",2012,2014,0,125182,118484,82.33,61.52,21206,1959.48,18.1,0.191585
Abilene,"Taylor, Jones",2013,2014,0,125182,119721,82.78,61.21,20762,1959.48,15.9,0.195921
Abilene,"Taylor, Jones",2014,2014,1,125182,120776,83.08,60.53,21095,1959.48,14.6,0.23083
Alamo,Hidalgo,2009,2017,0,19493,16929,55.46,16.66,12110,1383.49,17.9,0.181996
Alamo,Hidalgo,2010,2017,0,19493,17816,59.06,15.99,13202,1383.49,15.8,0.175965
Alamo,Hidalgo,2011,2017,0,19493,18145,61.28,16.09,14890,1383.49,19.2,0.185339
Alamo,Hidalgo,2012,2017,0,19493,18345,61.48,16.85,15683,1383.49,18.1,0.191585
Alamo,Hidalgo,2013,2017,0,19493,18658,59.38,14.73,15078,1383.49,15.9,0.195921
Alamo,Hidalgo,2014,2017,0,19493,18907,61.9,14.56,16007,1383.49,14.6,0.23083
Alamo,Hidalgo,2015,2017,0,19493,18943,62.79,13.71,15787,1383.49,15.2,0.245775
Alamo,Hidalgo,2016,2017,0,19493,19021,62.57,13.2,15164,1383.49,14.2,0.258409
Alamo,Hidalgo,2017,2017,1,19493,19442,65.44,12.69,14675,1383.49,15.7,0.325654
Anthony,El Paso,2009,2017,0,3671,4212,64.54,13.2,10230,488.68,17.9,0.181996
Anthony,El Paso,2010,2017,0,3671,4766,69.01,13.01,11287,488.68,15.8,0.175965
Anthony,El Paso,2011,2017,0,3671,4875,75.28,15.82,10576,488.68,19.2,0.185339
Anthony,El Paso,2012,2017,0,3671,4992,78.4,14.58,10963,488.68,18.1,0.191585
Anthony,El Paso,2013,2017,0,3671,5102,79.72,14.35,11099,488.68,15.9,0.195921
Anthony,El Paso,2014,2017,0,3671,5218,76.99,13.28,11849,488.68,14.6,0.23083
Anthony,El Paso,2015,2017,0,3671,5305,78.18,12.08,12382,488.68,15.2,0.245775
Anthony,El Paso,2016,2017,0,3671,5402,78.22,10.2,13337,488.68,14.2,0.258409
Anthony,El Paso,2017,2017,1,3671,5503,77.09,11.03,13616,488.68,15.7,0.325654
Arlington,Tarrant,2009,2017,0,394266,370217,84.55,47.99,25024,1586.74,17.9,0.181996
Arlington,Tarrant,2010,2017,0,394266,359410,84.58,45.73,25045,1586.74,15.8,0.175965
Arlington,Tarrant,2011,2017,0,394266,363933,84.13,44.22,25317,1586.74,19.2,0.185339
Arlington,Tarrant,2012,2017,0,394266,367154,84.17,43.91,25468,1586.74,18.1,0.191585
Arlington,Tarrant,2013,2017,0,394266,371267,84.33,43.48,25456,1586.74,15.9,0.195921
Arlington,Tarrant,2014,2017,0,394266,375305,84.56,42.87,25236,1586.74,14.6,0.23083
Arlington,Tarrant,2015,2017,0,394266,379716,84.75,42.13,25368,1586.74,15.2,0.245775
Arlington,Tarrant,2016,2017,0,394266,383899,84.59,41.54,25957,1586.74,14.2,0.258409
Arlington,Tarrant,2017,2017,1,394266,388225,84.75,40.08,26627,1586.74,15.7,0.325654
Austin,"Travis, Williamson",2009,2017,0,961855,747984,84.32,49.78,30063,4930.89,17.9,0.181996
Austin,"Travis, Williamson",2010,2017,0,961855,764129,85.09,49.03,30286,4930.89,15.8,0.175965
Austin,"Travis, Williamson",2011,2017,0,961855,782149,85.6,48.62,31170,4930.89,19.2,0.185339
Austin,"Travis, Williamson",2012,2017,0,961855,799939,86.09,48.63,31387,4930.89,18.1,0.191585
Austin,"Travis, Williamson",2013,2017,0,961855,836800,86.69,49.11,31990,4930.89,15.9,0.195921
Austin,"Travis, Williamson",2014,2017,0,961855,864218,87.01,48.66,32672,4930.89,14.6,0.23083
Austin,"Travis, Williamson",2015,2017,0,961855,887061,87.54,48.68,34015,4930.89,15.2,0.245775
Austin,"Travis, Williamson",2016,2017,0,961855,907779,88.0,48.89,35672,4930.89,14.2,0.258409
Austin,"Travis, Williamson",2017,2017,1,961855,916906,88.54,48.56,37888,4930.89,15.7,0.325654
Beeville,Bee,2009,2018,0,13669,12517,68.0,28.21,14587,1799.92,17.9,0.181996
Beeville,Bee,2010,2018,0,13669,13344,66.24,27.47,11182,1799.92,15.8,0.175965
